mirname	KO1	KO2	KO3	WT1	WT2	WT3	C352A1	C352A2	C352A3	P351A1	P351A2	P351A3	ALA-1	ALA-2	ALA-3
hsa-mir-4723	1.0	0.0	5.013197926296254	5.33655435751687	6.891792295753001	0.0	1.3537847327678345	6.657378879806041	1.406320307313218	1.8332170030555517	1.2153741472827355	0.0	3.21816006097821	1.1485312654355802	3.07375402992889
hsa-mir-4724	0.0	0.0	0.0	1.3341385893792175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-4726	6.0	9.65828052003574	5.013197926296254	6.670692946896088	6.891792295753001	5.707845201655936	0.9025231551785564	6.657378879806041	9.844242151192525	8.249476513749983	13.369115620110094	8.296653557855837	11.79992022358677	12.633843919791381	8.452823582304449
hsa-mir-4727	0.0	0.0	2.506598963148127	0.0	0.0	1.426961300413984	0.0	2.21912629326868	0.0	0.0	0.0	0.0	2.14544004065214	0.0	2.3053155224466675
hsa-mir-4728	11.0	3.2194268400119133	5.013197926296254	8.004831536275304	5.1688442218147514	1.426961300413984	1.3537847327678345	4.43825258653736	2.812640614626436	2.2915212538194396	4.45637187337003	2.4401922228987756	8.58176016260856	2.2970625308711603	0.7684385074822225
hsa-mir-4730	0.0	0.0	0.0	1.3341385893792175	1.7229480739382503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7684385074822225
hsa-mir-4731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4583042507638879	0.8102494315218237	0.9760768891595103	0.0	0.0	0.0
hsa-mir-4733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-4734	5.0	6.4388536800238265	5.013197926296254	8.004831536275304	0.0	5.707845201655936	4.512615775892782	2.21912629326868	5.625281229252872	5.041346758402767	4.861496589130942	6.83253822411657	3.21816006097821	9.188250123484641	4.610631044893335
hsa-mir-4736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40512471576091186	0.0	0.0	0.0	0.0
hsa-mir-4737	0.0	6.4388536800238265	0.0	1.3341385893792175	0.0	0.0	0.0	0.0	1.406320307313218	0.0	0.0	0.48803844457975515	0.0	0.0	0.7684385074822225
hsa-mir-4738	21.0	12.877707360047653	17.546192742036887	16.00966307255061	10.337688443629501	4.280883901241952	7.220185241428451	6.657378879806041	5.625281229252872	3.2081297553472155	5.266621304891853	4.392346001217796	5.36360010163035	1.1485312654355802	7.684385074822224
hsa-mir-4739	0.0	0.0	0.0	0.0	3.4458961478765007	4.280883901241952	0.0	0.0	2.812640614626436	0.0	0.0	0.0	1.07272002032607	1.1485312654355802	0.0
